padron;valuacion;boleta
4775159;362548.22;9395371
4775160;117546.14;9395372
4775161;118272.03631;9395373
4775162;124182.58;9395374
4775163;116535.5;9395375
4775164;362548.18;9395376
4775165;362548.18;9395377
4775166;362548.18;9395378
4775167;362548.18;9395379
4679570;106642.29;9395380
4679435;72333.66;9395381
4679436;63693.03;9395382
4679437;63693.03;9395383
4679438;63693.03;9395384
4679439;63693.03;9395385
4679440;63693.03;9395386
4679441;63693.03;9395387
4679442;63693.03;9395388
4679443;63693.03;9395389
4679444;84090.87;9395390
4679445;85934.35;9395391
4679446;73714.64;9395392
4679447;69390.99;9395393
4679448;69390.99;9395394
4679449;69390.99;9395395
4679450;69390.99;9395396
4679451;69390.99;9395397
4679452;68971.9;9395398
4679453;69390.99;9395399
4679454;83971.97;9395400
4679455;83971.97;9395401
4679456;69390.99;9395402
4679457;69390.99;9395403
4679458;69390.99;9395404
4679459;69390.99;9395405
4679460;69390.99;9395406
4679461;69390.999;9395407
4679462;69390.99;9395408
4679464;63800.01;9395410
4679465;63848.58;9395411
4679467;63945.67;9395412
4679468;63994.23;9395413
4679469;64042.75;9395414
4679470;64091.32;9395415
4679473;64236.96;9395418
4679475;64334.09;9395419
4679476;64382.61;9395420
4679477;64431.18;9395421
4679478;64479.74;9395422
4679479;64528.26;9395423
4679480;64576.83;9395424
4679481;64625.39;9395425
4679482;64673.94;9395426
4679483;89784.24;9395427
4679484;137680.4;9395428
4679485;83971.97;9395429
4679486;83971.97;9395430
4679487;63920.77;9395431
4679488;63920.77;9395432
4679489;63920.77;9395433
4679490;63920.77;9395434
4679491;63920.77;9395435
4679492;63920.77;9395436
4679493;63920.77;9395437
4679494;63920.77;9395438
4679495;63920.77;9395439
4679496;63368.95;9395440
4679497;68717.2;9395441
4679498;63920.78;9395442
4679499;63920.77;9395443
4679500;63920.77;9395444
4679501;63920.77;9395445
4679502;63920.77;9395446
4679503;63920.77;9395447
4679504;63920.78;9395448
4679505;63920.77;9395449
4679506;63920.77;9395450
4679507;84090.87;9395451
4679508;72514.11;9395452
4679509;72514.11;9395453
4679510;72514.11;9395454
4679513;72514.11;9395457
4679514;72514.11;9395458
4679515;72514.11;9395459
4679516;70567.57;9395460
6000021;577615.62;9395461
581871;26997.84;9395462
484277;184181.51;9395463
877954;144026.97;9395464
483223;249230.68;9395465
4775835;85412.98;9395466
4775308;118039.13;9395467
283973;164381.71;9395468
4775168;1175754.74;9395469
4775169;112942.31;9395470
4775170;115868.55;9395471
4775171;115868.59;9395472
4775172;115868.7;9395473
4775173;120010.84;9395474
4775175;121128.94;9395475
4775174;121088.68;9395476
4775176;121128.94;9395477
4775177;121128.94;9395478
4775178;117663.89;9395479
4775179;115868.72;9395480
4775180;115868.72;9395481
4775181;115868.72;9395482
4775183;115670.18;9395483
4775184;114509.55;9395484
4775182;119438.07;9395485
4775186;122277.59;9395486
4775187;601687.06;9395487
4775188;592173.66;9395488
4775189;592173.66;9395489
4775190;607324.27;9395490
4775191;607324.17;9395491
4775192;592173.66;9395492
875340;94622.05;9395493
875339;94622.05;9395494
4775193;592173.66;9395495
4775194;613305.49;9395496
4775195;256126.5;9395497
4775196;257995.22;9395498
4775197;257891.42;9395499
4775198;383276.29;9395500
4775199;256957.62;9395501
4775200;257950.42;9395502
878094;350236.04;9395503
4678312;223199.36;9395504
4775201;257950.42;9395505
4775202;257950.42;9395506
4775203;256957.62;9395507
4775204;383278.43;9395508
4775205;257892.91;9395509
4775206;257996.71;9395510
4775207;257208.18;9395511
4775208;257853.94;9395512
4775209;257827.61;9395513
4775210;257463.9;9395514
4775211;257001.84;9395515
4775212;257995.22;9395516
4775213;257891.42;9395517
4677638;66909.31;9395518
4775214;383276.29;9395519
4677639;85552.26;9395520
4677640;85552.26;9395521
4677641;85552.26;9395522
4677642;85552.26;9395523
4677643;85552.26;9395524
4677644;94670.42;9395525
4775215;256957.62;9395526
4775216;257950.42;9395527
4775217;257950.42;9395528
4676716;486200.99;9395529
4676717;470526.62;9395530
4775218;257950.42;9395531
4775219;256957.62;9395532
4775220;376564.15;9395533
4775221;257892.92;9395534
4775222;257996.71;9395535
4775223;257001.84;9395536
4775224;257994.53;9395537
4775225;257994.53;9395538
4775226;257994.53;9395539
4775227;372734.93;9395540
4775228;257686.12;9395541
4775229;254233.9148;9395542
4775230;253364.73;9395543
4775231;256831.15;9395544
4775232;257819.23;9395545
4775233;257819.23;9395546
184834;206501.46;9395547
4775234;257922.85;9395548
4775235;251275.98;9395549
4775236;359714.28;9395550
4775237;249633.65;9395551
4775238;252278.34;9395552
4775240;253478.85;9395553
4775241;249502.66;9395554
4775242;260932.46;9395555
4775243;251372.58;9395556
4775244;251307.96;9395557
4679185;121108.87;9395558
4676718;885639.54;9395559
4679409;241625.04;9395560
4679410;75052.89;9395561
779736;344500.27;9395562
4775405;54700.0;9395563
4679203;103198.02;9395564
4679947;233839.07;9395565
583041;145742.19;9395566
878079;211634.85;9395567
878078;211620.5;9395568
777115;70877.74;9395569
777116;72229.47;9395570
284165;195102.68;9395571
480540;265788.19;9395572
4678000;36018.88;9395573
4678925;78231.55;9395574
879886;307196.89;9395575
4679250;86434.92;9395576
4679875;102784.34;9395577
4775809;199560.45;9395579
4775404;239758.06;9395580
4775407;234804.24;9395581
4775410;234829.83;9395582
4775417;234726.35;9395585
535120;436102.75;9395587
4775826;97007.149395;9395590
4775823;91502.22;9395593
4775450;97007.14;9395595
4775453;101512.98;9395597
4775810;97007.14;9395598
4775811;97007.14;9395599
4775812;97007.14;9395600
4775829;97007.14;9395601
4775830;97007.14;9395602
4775837;97007.14;9395605
4775838;97007.14;9395606
4775839;97007.14;9395607
4775840;97007.14;9395608
4775555;97007.14;9395609
4775556;97007.14;9395610
4775557;97007.14;9395611
4775558;101512.98;9395612
4775559;498409.89;9395613
4775560;97007.14;9395614
4775814;89430.57;9395615
4775815;90187.507516;9395616
4775561;91574.15;9395617
4775562;93928.8;9395618
4775813;88603.2;9395621
4678926;78231.55;9395622
4678927;78231.55;9395623
4679876;102784.347944;9395624
4775498;40957.5;9395625
4775497;41034.84;9395626
778224;475488.75;9395627
4775185;113324.4;9395628
4775239;24954.32;9395629
4676518;291780.46;9395631
384655;29014.64;9395632
4677859;101602.19;9395633
4679474;64285.52;9395634
678382;173014.12;9395635
675244;38237.55;9395636
876330;151471.7;9395637
4775413;234811.67;9395638
4775411;234873.95;9395639
283582;89062.47;9395640
676408;45192.0;9395641
4678043;80909.85;9395642
4678044;85481.49;9395643
4678061;62820.1;9395644
4678101;74718.79;9395646
4678102;74553.32;9395647
4678035;68232.8;9395648
4678036;68021.95;9395649
4678037;67978.51;9395650
4678038;61667.18;9395651
4678039;68505.45;9395652
4676992;227451.06;9395653
879601;493462.25;9395654
4678041;67864.56;9395655
4678042;64369.05;9395656
4678045;77800.04;9395657
4678047;81331.15;9395658
4678048;78266.03;9395659
4678049;77294.91;9395660
4678050;91216.38;9395661
4678051;77822.49;9395662
4678052;85674.27;9395663
4678055;84118.79;9395666
4678056;83267.5;9395667
4678057;79674.4;9395668
4678058;88095.41;9395669
4678059;79286.74;9395670
4678062;66686.27;9395671
4678063;66623.23;9395672
4678064;66623.23;9395673
4678065;66563.8;9395674
4678066;66496.36;9395675
4678067;66436.38;9395676
4678068;66374.6;9395677
676460;241599.98;9395678
