padron,valuacion
481089,130694.85
675495,73042.47
580550,438888.38
382048,406149.87
675431,82316.85
676327,16086.92
382792,455431.61
678060,96573.92
481000,28062.78
675787,41257.91
679464,94797.68
778697,49015.74
777408,73500.37
384487,191574.23
481867,48917.48
779738,722547.97
679513,346844.66
875382,184252.57
679832,75993.47
284097,264762.64
384135,351043.22
80587,94628.71
676751,134524.94
581764,103734.55
678304,163008.67
83334,19796.4
83333,36795.03
80415,307968.54
875722,709749.7
779169,1082177.2
82883,323542.23
384181,217153.62
580867,33318.25
480267,49103.32236
383987,311852.54
875227,260035.11
83346,21234.29
80179,378253.72
582623,403540.63
875729,2056602.09
875688,41400.0
875554,131315.42
678102,226343.49
875622,77823.39
875621,95359.96
875620,75298.52
875721,572682.7
383789,390217.78
583102,62014.15
284397,236286.82
875713,68836.71
875714,336031.71
875690,442463.5
779268,54600.0
875616,481735.73
875436,589021.7
875635,496020.39
875710,64300.0
875681,449364.04
875682,517516.07
875683,477834.55
875685,339223.15
875127,41100.0
875624,176775.4
875627,351675.09
875628,699621.74
875632,682847.22
875634,493287.76
875636,324041.82
875638,706586.17
875639,382767.22
875640,440697.34
875641,482164.57
875712,199914.29
875674,81542.13
875676,69395.96
875677,41057.42
875679,40698.85
875701,22992.55
875702,356309.3
382129,54317.42
778609,816303.75
776675,752984.67
776664,640628.61
776744,690264.19
779384,929642.69
779366,808326.37
776751,653124.57
776723,576200.54
778608,639608.62
776773,955483.33
776698,785986.19
776678,690755.89
776667,481446.34
778666,213742.25
776697,733097.75
776727,794172.66
776665,617114.21
779754,878470.86
776757,662776.38
779756,933020.8
779365,1229280.48
779755,1318305.49
776743,606171.73
778553,1033675.67
776661,778466.13
778607,1040028.25
776762,750567.43
776767,400500.0
776769,616242.89
776771,668840.18
776713,789205.81
778554,1012442.92
875519,10900.0
776725,574067.09
776768,924434.58
776774,794467.72
776724,677951.93
776755,310042.45
776685,197860.22
776686,959640.11
875644,714550.44
776760,759151.68
776729,237598.21
776730,949683.24
779383,652153.36
778549,805054.61
776684,484250.51
776677,687039.14
776770,726974.92
776722,736507.39
776726,864708.59
777947,1634522.22
778552,664968.85
776696,701551.39
776666,605016.46
776695,1238577.32
777234,695243.41
776772,781293.54
776699,867041.39
776761,678483.16
777405,866323.2734
776745,713614.93
776756,836749.09
678425,58492.64
675788,256133.01
875709,631976.55
778667,1065247.27
679546,39373.54
778257,14800.0
778258,13400.0
777588,62709.92
484370,145159.3
777155,43440.57
675076,155566.84
778547,394122.75
676488,65015.84
480492,156198.71
675048,72336.187701
875615,508746.73
875614,80272.81
875495,25700.0
675092,210203.757
580389,376902.91
581003,295179.17
775736,915592.13
481915,184864.25
183033,22061.08
678701,154764.07
381487,246631.31
875555,128897.08
775687,663986.7
875707,84100.0
875715,647531.22
775688,915199.46
775071,644639.48
875719,65981.71
875718,65629.21
778670,48830.65
776228,101612.53
775666,332145.11
81163,1033844.37
484362,236463.19
481963,28044.05
483020,78069.66
875666,185249.92
875720,33701.89
875717,41761.58
875527,114682.14
875695,326803.77
875696,739498.9
875697,917508.54
484604,324028.53
483604,16763.9
483669,32961.21
483667,18709.71
383592,233072.47
776712,659325.13
776618,976100.17
875518,67000.001899
875520,151100.0
676266,769951.43
676267,45206.56
875708,447746.06
676691,119764.7
777759,43789.13
875588,95053.24
875589,98068.83
875590,98068.83
875591,98068.83
875592,91530.94
875593,90657.08
875594,120743.31
875595,137400.4
875596,95898.5
875597,82622.96
875598,98230.54
875599,98230.54
875600,82622.96
875601,95898.5
875602,131215.69
875603,114598.3
875604,90657.08
875605,91530.94
875606,98068.83
875607,98068.83
875608,98068.83
875609,81137.34
875610,82646.04
875611,82646.04
875612,81137.34
875613,445174.61
480792,448140.41
480793,235229.99
480794,215788.28
775893,13516.56
282364,953740.57
284982,120364.14
581332,135055.75
679724,368070.63
282878,352971.17
679986,60443.36
284396,47166.58
580924,50739.34
678057,133135.59
875617,488275.66
480876,158143.15
775509,136920.22
382908,638230.41
483111,338799.34
581734,51850.5
580927,33851.37
180887,801508.89
182190,13200.0
184474,30800.0
380244,174978.95
280449,21500.0
282203,52200.0
282245,16300.0
282452,12400.0
282669,188848.5
282670,197388.88
282747,306901.04
282839,43800.0
282856,285173.13
283415,54038.83
283617,13400.0
283789,132722.91
283980,320672.16
380167,47813.47
380169,188045.15
380180,55957.45
380193,141826.75
380259,12100.0
380269,195942.55
380408,22300.0
381127,70193.44
381128,105183.84
381167,33803.28
679822,49938.55
778695,65048.87
677277,28628.57
679720,215151.94
875736,224164.28
875737,117451.06
679661,63681.02
875693,3576307.89
875370,287487.73
480529,93787.95
675030,179608.63
580700,316529.52
581038,164060.49
382274,65540.19
483388,174051.26
284184,295857.43
483417,61499.16
83474,78527.94
875686,1732282.84
483611,125256.4
875748,417014.59
875747,546205.94
875745,315587.09
875743,694438.0
875741,275523.25
875739,569064.8
875738,861707.87
875744,400508.54
482454,81692.6
677877,275099.67
580453,598869.02
284248,94776.45
677678,247101.85
777996,85170.39
677473,13100.0
679319,55578.78
875193,107590.62
875192,472043.3834
678584,100336.26
777222,225230.9
875651,557002.53
875652,571745.78
875653,330214.9534
875657,269188.71
875658,13500.0
284263,924566.331899
777317,1239786.33
581718,77514.34
281737,37144.07
183772,398084.02
583019,160641.93
875704,240737.1734
81441,15200.0
580922,33851.3734
483511,149727.61
581028,214671.77
875753,257903.61
484268,242786.22
675634,303531.51
675066,195225.93
677143,939370.46
775023,59904.1434
676218,517859.51
480749,25123.71
384721,231306.19
875444,174141.39
480494,326671.21
483565,118089.79
482982,111900.96
284580,247651.71
779060,48994.28
778841,53600.0
676681,133412.74
81165,330730.43
679043,51126.06
675844,131481.54
675579,591055.5
380645,185858.77
777959,86471.02
777961,86471.02
777962,86471.027
777963,86471.02
380129,38152.93
380131,37645.63
380130,28075.38
380132,35282.42
777966,86471.02
777967,86471.02
777969,86471.02
777970,86471.02
777971,86471.02
777972,86471.02
777974,87652.55
777975,87652.55
777981,87652.55
777983,87477.74
777984,87652.55
777985,87652.55
777986,87652.55
777987,87652.55
777988,87652.55
777990,87652.55
778575,86753.04
778576,86753.21
778578,86753.04
778579,86753.04
778580,86753.04
778581,86753.04
778584,86752.96
778589,90825.99
778592,90825.99
778598,90825.99
778600,90825.52
778787,79393.12
778795,79393.12
778799,79393.12
778802,79393.12
778555,92893.05
778556,92893.05
778557,92893.05
778559,92893.05
778561,92893.05
778562,92893.05
778563,92893.05
778564,92893.05
778566,92893.05
778568,92893.05
778569,92893.05
778571,92893.05
778573,92893.05
284257,68671.67
283998,443044.31
581261,112614.42
480440,203099.25
480238,219369.77
778940,338293.94
676245,49764.41
676537,370099.22
778004,337768.16
81423,1000302.29
676124,551749.0
776176,59247.79
677348,649617.25
778155,808647.01
676614,427055.34
677554,578391.69
677731,262179.96
580666,254443.88
284268,457098.66
776931,43000.0
678821,2501450.21
776983,304412.1
184948,139655.94
381481,133888.24
180192,25100.0
80253,221904.62
283278,119816.82
81563,104500.0
676314,35761.86
778950,50545.03
676996,84122.32
676348,44113.37
480316,74986.55
380518,234076.79
677491,478844.21
677492,474626.41
777669,72634.81
777666,35248.38
775129,27404.23
677493,12000.0
515890,82364.22
515916,52883.55
515817,97919.99
679130,142027.73
679158,379963.47
679161,85102.714
679164,193398.28
679141,231536.24
679142,146366.9
679143,107021.8
679145,106144.96
679146,505769.71
679148,189568.06
679132,99855.01
679133,94961.35
679135,157559.52
679137,95654.69
679138,98643.62
679139,198645.69
679114,173464.46
679115,138204.83
679116,179864.66
679117,119284.93
679118,95725.77
679120,141018.15
679121,153894.59
679122,148499.87
679123,202350.21
679124,92909.21
679125,92284.64
679126,95285.08
679127,145947.76
679128,136618.01
679129,144956.81
679150,92735.13
679151,117948.28
679152,201247.4
679153,182824.03
679154,48440.43
679155,165387.58
679156,104641.81
679157,141223.1
776872,746956.62
777965,86471.02
875535,67916.05
83396,3179640.2
581491,36169.47
679192,166311.4
679175,194411.65
679173,176131.54
381485,197650.62
384032,261743.02
481750,56343.43
481751,53261.07
280890,228293.56
777566,526865.72
778771,126216.8
677254,434201.24
676228,49875.94
581068,244621.58
582663,145396.9
777790,49228.63
281786,106942.05
484485,137454.33
778842,778374.69
484284,157349.34
679992,70053.3
777955,86471.02
777991,87652.55
777787,49135.65
777789,49135.65
777785,49135.65
775521,94200.0
580235,130758.48
382962,396271.03
581010,36866.35
580808,214634.59
281775,177391.59
382261,172783.4
777982,87652.55
777786,49135.65
676094,80583.97
581529,211252.99
381182,149610.38
580872,177167.88
284356,299853.99
284355,357502.4
581282,59968.95
284984,308865.81
480427,226317.03
480428,234507.11
381938,91080.19
580965,192523.31
580184,296068.77
676133,106503.51
776878,529830.92
283062,272132.16
184319,361074.87
678664,102206.38
180869,1161727.64
83318,76622.93385
83294,13187.5634
184963,177009.66
382536,235925.4
482496,60918.85
580704,214004.47
779394,1121912.81
284523,210339.85
675072,117532.53
875165,40540.27
775728,68760.33
482466,102366.29
284375,393073.44
280788,299399.59
284254,68671.67
777312,866321.32
777313,429082.53
777314,405845.48
777315,468583.83
582662,41395.21
515896,28246.9
779226,777520.52
481355,47578.24
676116,27101.61
677662,114804.27
676927,335254.63
675058,7840442.69
875689,83465.33
676963,121836.01
480308,136822.33
676799,19278.47
384672,31695.51
484398,207472.67
678556,84178.52
482439,21284712.67
380052,34811.76
679455,665676.32
777296,1076272.82
483329,192816.21
777958,86471.02
678287,248853.14
676568,503523.16
480780,163049.33
776224,64229.47
778726,65429.36
80921,211302.3
582092,98641.09
677088,483967.56
384431,181665.83
875136,579108.34
384326,217482.67
777217,58800.0
480761,414547.9
675934,255547.44
282882,347712.33
776108,20333.85
580991,36107.64
580992,31815.1
679945,63599.53
676494,54095.15
281754,146639.66
580995,228471.65
481384,81721.21
581409,214613.95
383254,61228.0
875314,66474.5
677263,30426.5
581385,257577.26
484650,140188.23
184681,288650.67
580797,228703.55
679973,387380.4
778882,1429482.71
380475,260998.58
777103,61002.19
381069,18433.17
381070,100227.01
381071,20120.96
678125,64639.64
384002,341629.58
383123,1627047.24
483483,42094.17
676556,260419.25
284404,47166.58
580866,73928.82
480318,314437.3
679033,299255.29
876053,447071.68
775080,430050.18
677841,67282.34
775997,67048.26
484307,150556.98
580467,15100.0
580468,51300.0
383591,200518.97
677243,72866.29
383246,68139.47
778680,49015.74
778712,49386.39
778734,49401.42
778739,49243.93
778684,49243.93
778682,43062.44
778741,49243.93
778713,49386.39
778706,49386.39
778675,49015.74
778688,49605.86
778687,49605.86
778718,49579.57
778149,10200.0
581126,44933.61
776036,110942.23
580167,343083.7
580198,77378.82
580072,143103.02
580074,168301.24
580205,330260.69
580204,100306.86
580479,443882.52
580129,114665.13
384056,267641.64
484718,16780.87
480488,47714.42
480826,233497.35
581730,65379.25
382650,59720.67
484512,224846.66
283054,61400.0
384389,345514.26
776978,45999.71
381147,194913.24
582235,249520.01
80705,76280.2
779147,820722.8
381540,408259.43
384850,323087.64
678808,153387.87
580073,467556.11
283041,268444.25
779778,84079.75
283061,33758.71
775092,290125.96
380381,328541.6
775767,87000.0
778833,13700.0
677462,93467.79
675275,1271275.11
580680,184085.4
580681,195009.48
580684,131290.73
580686,240831.35
580689,301637.03
580691,184171.13
580692,144018.11
580693,77374.51
580696,143974.13
480266,49103.32
283513,89211.64
677743,119153.18
679553,91357.16
183472,474436.15
183473,124732.73
380504,201787.27
82165,20600.0
676268,119818.1
678297,168981.09
777218,545163.97
777407,1775423.17
775014,97839.68
875334,96093.42
875337,95392.89
580306,737979.3434
580307,372192.41
678397,148319.02
776131,143880.05
776016,96558.86
775844,15836.61
775659,131501.75
679899,52928.95
678649,29200.0
675088,194574.27
675727,331683.46
380623,199925.53
382466,147474.32
382395,133427.77
482640,101435.16
483484,120537.37
484463,213011.04
484470,159585.65
484499,166421.43
581017,213504.03
582281,236218.34
875654,487544.94
775124,86249.01
679292,52919.22
282163,294468.62
779788,102029.71
580925,114802.16
676761,168489.53
83091,282238.34
184952,184668.39
480449,219623.99
381188,178808.45
775091,1065011.91
875224,102366.11
675863,118537.93
679797,198698.83
281814,157884.01
382682,344256.12
382418,206691.73
876228,149605.85
580741,576600.61
675720,348741.91
382307,187575.07
777954,86471.02
484325,230759.5
677153,149439.9
82428,526760.44
384572,237809.54
678486,121873.75
675900,863742.61
181021,139993.6
283997,252085.94
675089,87505.99
580048,127971.6
480282,323199.83
777951,11300.0
382522,232328.64
480315,203368.96
183464,30900.0
678074,385653.52
183463,72600.0
582121,284399.61
778599,90825.52
677598,532930.99
876274,551031.23
580084,432190.61
484453,173261.94
875649,411465.19
484516,85972.62
380459,758554.1
480857,28848.52
484716,107910.99
380285,172387.72
484324,182293.87
779771,83701.73
484302,101053.73
380278,1151549.48
679834,173768.7
484410,141295.322
484673,154774.75
876003,669777.1
876012,889678.96
876052,71708.53
876057,921576.55
876014,880155.42
876026,259357.2276
876027,42709.83
678094,150009.53
876009,20777.35
876006,225228.95
876005,64700.17
876035,30334.3
876024,106540.02
675489,556805.14
876058,2256711.03
876059,1361977.76
876060,413359.36
876061,11300.0
876062,851992.0
876065,27900.0
876066,1325629.64
876067,989493.18
876069,263780.08
876070,904495.4
876072,362218.55
876073,96100.0
876074,450897.95
876075,1185113.02
876209,218337.17
876224,737063.75
876225,688932.76
876055,272659.82
776594,64100.0
876237,549623.29
876234,10461.85
876246,193491.57
383367,176356.05
484649,18177.72
480963,136357.64
383025,166473.18
778163,783682.14
777729,652572.09
382465,184053.68
582203,113561.48
876032,578433.94
876044,35911.27
876043,32952.05
876042,32996.0
876041,33083.18
876040,33126.51
876039,34606.59
876038,40072.54
876033,1562376.6
383486,220975.53
779727,261666.96
482441,230371.6
383764,232233.58
677347,101600.0
283473,56568.79
482641,104851.5113
381119,107532.59
875684,533877.91
383389,236632.57
383390,177760.35
676682,154365.14
778735,49401.42
282930,290221.46
676750,21007.59
777824,201948.7
775648,142927.96
282266,1334328.95
876270,442263.63
876271,752723.14336
876266,107365.48
876265,107365.48
876264,107365.48
876260,375283.99
876259,289585.34
876257,442831.3
876254,518494.16
876253,109462.56
876251,110402.35
876250,300576.82
876249,407459.11
876248,245227.97
83658,372594.5
675676,271326.58
183490,477089.61
777953,301943.25
384425,337968.66
383378,210189.36
381361,219385.87
383223,250255.28
283034,152158.01
381921,31658.7
284455,415291.39
81153,27600.0
482463,300809.88
676830,82878.45
675339,161331.46
679649,295104.6
676760,218152.99
776382,79905.77
776030,14029.84
583044,109685.52
580722,48327.82
581591,148224.95
677179,665860.84
777147,40715.0
581393,119554.65
779369,835264.14
779370,840608.56
676558,395130.03
776013,11254.17
776710,538786.09
183957,213737.14
481390,85993.28
679990,52960.69
679388,88497.0
484381,170261.92
581189,140549.22
675440,152424.81
383423,134586.41
778137,155481.92
484479,100729.32
280002,215768.52
183920,66217.64
676111,165918.53
183458,611252.73
482704,99995.65
776662,601430.65
381483,45231.0
481877,115297.03
81326,719073.55
677987,247024.56
581346,206499.57
481095,223764.1
775590,73030.92
382358,33596.38
777979,87652.55
383312,97024.86
284392,160799.76
677249,212452.16
284306,150465.66
582472,118801.94
775036,73714.22
677653,121013.04
180889,276782.365
778692,49015.74
382405,52190.25
382404,148926.91
581009,388265.48
776986,265110.67
283047,379648.49
284773,84723.23
675893,467526.27
777778,76663.3
679595,314483.89
876063,619552.99
779239,773414.66
281785,65874.95
484335,128569.48
80638,114417.48
580035,87480.82
679727,11600.0
678441,73268.1
677670,181466.05
582306,297552.54
675865,118537.98
677215,964522.99
875680,173725.19
484322,224339.37
284277,399517.16
779763,93384.25
484689,16662.92
481850,203412.21
483590,213459.621899
80343,52800.0
678258,192782.17
382533,211402.12
875758,556264.3
582344,258174.13
481271,85981.8
581345,226212.58
384129,436402.21
678640,280599.51
776105,12504.64
677525,77387.36
777199,58980.38
284172,74694.51
779726,254568.5
483647,15305.45
775522,401284.27
383626,96434.14
483429,188449.33
581264,40426.15
383552,181027.5
775059,318666.1
777079,67715.28
875124,306957.3
676146,471550.03
676724,190924.51
776663,706544.93
383798,199210.0
778797,79393.12
482575,122175.31
280775,297991.26
875724,1509828.5
184966,211045.15
779162,15400.0
679060,719869.44
676196,430980.12
777343,275965.48
484917,113035.54
875434,94893.71
875107,21700.0
875133,679940.53
82839,250169.17
875525,965514.69
284044,167254.43
284567,148206.36
481869,291676.03
481879,102123.94
582451,73727.03
582452,93150.81
583260,126322.25
677104,136281.12
677105,139814.28
775073,93652.31
778702,49576.06
778703,49576.06
778704,49576.06
778705,49576.06
778817,523291.96
778852,501548.81
778853,925101.18
779375,65735.8
779376,283129.67
779377,272614.13
383192,2331119.18
677361,64257.74
677363,64257.74
677364,67807.4
677365,66972.39
677367,67807.4
677366,66972.39
380934,195208.62
83659,417276.98
675306,258642.96
678359,182463.92
481267,40937.14
778123,49808.74
80248,925421.09
82491,1157701.72
184677,415790.97
382894,287045.087
678078,44383.2
281812,373434.15
776149,844955.62
778810,2390849.789
778861,666293.62
776991,505157.98
776992,520658.76
776999,239938.4
777086,181598.36
778000,306094.57
778122,59100.72
779266,146098.57
779267,145954.79
779278,592964.72
779757,91635.39
383786,24400.0
483901,25912.65
779768,84430.99
779769,84079.75
383931,425513.52
875514,979333.58
82638,18305.43
380627,206297.45
776620,552109.35
875755,784713.69
482523,167353.42
482498,246610.52
778519,1089440.79
876068,824600.51
776383,80902.47
282269,154826.16
383294,120504.54
383295,109724.53
484419,114228.66
380632,123756.83
283027,259220.41
484525,106385.4
779233,436255.95
580790,202864.08
876242,473159.04
876241,402832.61
876239,168165.52
876243,420686.34
283981,67072.81
677058,73495.37
580883,33318.25
675170,34078.85
383544,133117.51
384243,194722.56
283493,11600.0
779016,84500.0
679819,113936.26
284110,253330.6
776457,162831.34
383056,308174.68
777602,83983.14
481048,167354.76
383387,350012.5
380243,192454.82
380508,229066.63
483526,123105.23
678810,242521.42
382182,218483.97
383380,212687.06
384011,59040.31
677508,77387.36
583159,48853.28
482398,224291.33
484084,290921.58
776467,81430.55
779388,849898.62
580356,886600.34
779184,14900.0
283019,223034.44
82817,121989.59
583010,22146.8
581712,160568.16
581711,173608.67
380489,155727.22
776614,527635.56
679080,27600.0
282617,361753.7
282191,429142.13
180875,321110.627
180675,118177.35
581678,223686.62
382246,140141.18
380242,183618.33
679075,293079.09
283893,154166.5
383774,179286.5
284459,221420.23
581102,112658.45
283099,141867.9
382457,210578.79
383595,120398.74
280747,242183.65
675042,186576.67
876210,168741.21
775003,189972.21
183910,1065314.86
284410,201433.25
484683,56897.39
778720,65277.04
581753,69068.57
481950,231645.65
677518,80595.81
779131,142002.08
677227,318723.86
383669,188742.81
876273,16800.0
282803,55791.98
875217,138939.14
383627,124678.71
481913,43551.61
483385,301297.69
778625,395529.22
580899,96932.35
481274,100305.98
677718,46400.0
581116,129628.95
675070,264730.03
677510,84482.84
776125,142732.49
675511,33603.43
383243,78204.65
482991,89190.7
676758,20116.69
676916,259315.41
581311,192767.43
484545,109210.87
383374,122008.27
778862,638169.8
284228,217394.85
283056,257316.19
677709,328099.02
581182,145311.82
876076,478189.58
283859,141811.92
778671,48830.65
675892,548953.2
284483,170343.21
678109,106970.91
675687,615314.56
83319,82382.43
778782,185983.54
184856,248601.39
679324,75027.17
778781,187829.53
679514,30500.0
384643,172058.61
382209,221868.69
481814,207229.74
678363,181017.93
481324,95524.43
482590,255835.26
775055,304898.13
678457,340091.0
384533,245551.58
775473,78824.03
484647,21672.19
483218,307902.12
679633,322629.95
81378,244649.1
875469,216799.15
82049,42637.34
481419,21074.44
677995,59491.43
581006,214670.22
284452,231123.99
876008,35618.28
581140,143369.35
775872,11254.4
675707,579224.79
778618,279100.0
283470,30758.44
283866,144163.99
180068,194004.6
776638,410160.61
679736,67282.58
676187,300973.49
677147,252760.79
875378,431792.35
677522,77387.36
775850,457338.74
583278,109865.65
582253,154443.0
481331,18440.27
875230,156818.87
284168,97207.32
284169,291457.87
675749,71816.42
482344,222798.47
675840,193400.26
483466,42398.17
675804,83591.99
675532,218443.62
777182,41501.45
484483,144776.411
679136,281659.04
675562,246945.59
581292,310127.39
581293,111454.7
876285,355522.11
675323,382600.94
180870,164496.44
775043,110256.997
779399,19400.0
484372,136674.97
779019,544286.29
777091,203317.18
775044,110192.56
677524,77387.36
876011,470688.14
775674,74564.46
776350,110389.35
876207,964794.39
382027,281419.39
582358,271900.167
481946,157623.39
679147,191811.08
778587,86752.96
875751,472954.71
679450,495537.15
677614,463982.0
876017,113142.96
581256,34598.72
580715,267009.1
675782,161206.9
675784,162367.21
481695,287604.12
483644,18366.53
581697,140527.73
679494,392452.37
777077,130077.83
778819,427459.41
180166,302260.88
380071,106154.12
380092,28075.38
676809,72660.17
384210,14500.0
384209,2489302.71
283888,93044.01
282190,85222.99
384223,698832.98
676524,408191.38
383619,163103.36
82587,57476.62
776470,180721.19
381841,12800.0
383597,261678.45
775637,54809.5
483909,546236.61
483225,411925.24
81009,191642.18
280739,277958.28
778203,109360.98
383527,223051.55
580309,25800.0
777573,390521.51
777118,69076.63
675084,236832.03
580488,108944.42
875740,418944.94
876236,110141.06
80426,999998.04
282942,292880.76
482709,96660.81
676281,344824.88
777133,76812.48
777132,75882.17
875125,306378.64
676448,44006.39
81268,94349.77
777122,66809.76
481062,33169.13
581284,179813.88
777525,76807.05
676395,20400.0
382243,260452.8
677994,278074.26
583161,202713.88
483472,145425.32
777138,70852.05
777139,70852.05
480247,229590.64
778934,81393.7
483618,164542.46
284477,218957.15
677399,106865.77
678820,3135827.31
677984,688897.74
382028,170943.6
481066,40871.8
775725,68760.33
777152,60816.77
676557,573907.15
482633,230844.16
778558,92893.05
180677,112487.83
675587,225963.87
383339,381812.37
282774,417937.74
480456,61361.8
484435,133538.06
876278,612769.22
580957,131511.96
876280,527460.9
678272,191658.21
778305,1055582.25
777426,84463.64
380631,328907.94
583483,165446.31
776993,161645.25
382704,107790.45
876166,506617.5
678606,175923.36
283464,279725.83
383576,194396.48
581265,231733.45
383493,153589.2
83962,283004.62
382332,159649.47
81083,359856.96
282164,557362.67
778273,927577.24
483274,226792.46
481949,198163.66
876080,313809.82
184943,48162.19
81769,421712.59
384731,424433.8
775476,449949.25
580481,576793.07
582560,28062.78
778181,776885.43
876103,606694.09
876104,464056.12
876110,587269.84
876116,511608.47
876127,726715.31
876143,19300.0
876144,643991.33
484428,125014.32
184913,526462.57
876163,611994.77
876167,692506.1
876168,746880.35
876171,18200.0
876173,470267.68
876174,637875.85
876177,864931.0196
677201,112220.67
876196,494619.11
876164,540651.69
876165,561399.18
876169,666425.89
876170,18200.0
876211,589102.98
876213,292080.46
876215,239156.51
876217,261287.95
876218,263588.27
876221,240393.71
876222,234696.04
876223,711622.48
775612,52024.04
775617,51627.19
876212,238630.26
876214,250293.26
876245,794875.94
582022,171636.65
775615,67208.09
775611,67585.72
775618,65685.79
280854,392352.46
81506,524285.46
677368,663325.69
876085,414983.74
875510,106762.85
81463,284225.64
183861,190518.65
180895,18975.6
180896,18975.6
180892,19257.38
180893,18520.17
281634,163672.78
677465,463538.11
283455,27654.3
876119,548492.97
383693,761619.38
676138,262620.67
382413,268849.56
678778,83232.89
484541,189208.97
384068,248112.25
284502,139752.95
678266,147979.57
676265,494918.7
677620,1096773.06
779393,19100.0
83283,129500.44
875281,223643.34
382047,326440.95
675411,583363.96
381486,65580.41
381491,93430.77
484315,128480.87
580690,343245.826
779043,482767.02
282975,455220.67
580053,104259.127367
675295,101550.08
380562,51286.71
383449,126013.21
677165,165851.62
484038,195271.31
484037,52694.94
383787,221421.93
383788,75000.0
482490,92277.02
283879,240681.23
