padron,bajado,terreno,mejoras,ph,total,valuacion
676640,true,35857.97,274718.23,0.0,310576.2,166976.44
676643,true,37417.05,441.75,0.0,37858.8,20354.18
676644,true,37417.05,308394.58,0.0,345811.62,185920.22
676645,true,78201.6,282001.75,0.0,360203.35,193657.72
676647,true,37417.05,0.0,0.0,37417.05,20116.69
676648,true,44937.87,264882.75,0.0,309820.62,20116.69
676649,true,74943.26,407099.12,0.0,482042.38,259162.57
676652,true,35857.97,191396.71,0.0,227254.68,122179.93
676653,true,35857.97,245552.71,0.0,281410.68,151296.06
676655,true,34298.92,92796.48,0.0,127095.4,68330.84
676657,true,34298.92,7735.84,0.0,42034.76,22599.32
676658,true,34298.92,441.75,0.0,34740.67,18677.77
676659,true,72988.17,294191.33,0.0,367179.49,197408.34
676660,true,35857.97,59663.89,0.0,95521.86,51355.831899
676661,true,35857.97,230956.66,0.0,266814.64,143448.71
676662,true,35857.97,412936.97,0.0,448794.95,241287.59
676665,true,34298.92,105603.17,0.0,139902.09,75216.18
676670,true,34298.92,320052.38,0.0,354351.3,190511.44
676671,true,34298.92,225562.08,0.0,259861.01,139710.21
676672,true,34298.92,170215.19,0.0,204514.11,109953.81752
676673,true,34298.92,0.0,0.0,34298.92,18440.27
676674,true,37598.58,166787.98,0.0,204386.55,109885.22
676675,true,34298.92,198645.68,0.0,232944.6,125239.02
676677,true,34298.92,196130.92,0.0,230429.85,123887.01
676678,true,34298.92,103962.31,0.0,138261.23,74333.99
676679,true,34298.92,124974.09,0.0,159273.01,85630.64
676680,true,41193.06,292071.19,0.0,333264.25,179174.34
676681,true,34298.92,213848.8,0.0,248147.72,133412.74
676682,true,41193.06,245926.1,0.0,287119.16,154365.14
676683,true,34720.57,132157.18,0.0,166877.75,89719.22
676685,true,34841.65,128880.29,0.0,163721.94,88022.54
676686,true,41939.43,0.0,0.0,41939.43,22548.08
676689,true,37448.26,145797.97,0.0,183246.23,98519.46
676690,true,9776.32,198151.36,0.0,207927.68,111789.06
676691,true,37448.26,185314.13,0.0,222762.39,119764.7
676694,true,33519.44,0.0,0.0,33519.44,18021.2
676695,true,34298.92,332129.56,0.0,366428.49,197004.56
676696,true,34298.92,139410.02,0.0,173708.94,93391.9
676697,true,34298.92,161321.4,0.0,195620.32,105172.21
676698,true,34298.92,172398.32,0.0,206697.25,111127.55
676699,true,34298.92,139853.75,0.0,174152.67,93630.47
676700,true,34298.92,247313.37,0.0,281612.3,151404.46
676701,true,37448.22,46058.45,0.0,83506.67,36958.912
676702,true,31180.86,145489.6,0.0,176670.46,94984.11
676705,true,31180.86,142761.54,0.0,173942.4,93517.41
676706,true,31180.86,151836.75,0.0,183017.61,98396.56
676707,true,0.0,0.0,0.0,0.0,
676708,true,31180.86,142253.4,0.0,173434.27,93244.21
676710,true,37448.22,0.0,0.0,37448.22,16763.9
676712,true,31180.86,114713.47,0.0,145894.34,78437.82
676713,true,37448.21,201428.4,0.0,238876.61,16763.9
676714,true,37448.21,461477.02,0.0,498925.23,37773.52
676716,true,34298.92,242718.37,0.0,277017.29,148934.02
676718,true,37417.05,107064.09,0.0,144481.14,77678.037
676720,true,44937.82,195411.8,0.0,240349.62,129220.22
676721,true,44937.82,227757.39,0.0,272695.21,146610.31
676722,true,44836.43,247173.24,0.0,292009.68,156994.44
676723,true,38268.16,267837.39,0.0,306105.55,164572.86
676724,true,39543.84,315575.78,0.0,355119.62,190924.51
676725,true,93471.87,381997.33,0.0,475469.2,255628.61
676727,true,70861.13,665991.44,0.0,736852.57,396157.29
676728,true,63062.16,264848.04,0.0,327910.2,176295.81
676730,true,37978.33,168724.41,0.0,206702.74,111130.5
676731,true,44937.82,285223.58,0.0,330161.4,177506.13
676732,true,37417.05,0.0,0.0,37417.05,20116.69
676733,true,9776.32,195723.85,0.0,205500.17,110483.94
676734,true,44937.82,125292.25,0.0,170230.07,91521.54
676739,true,37417.05,215315.93,0.0,252732.98,135877.94
676740,true,44937.82,73601.89,0.0,118539.71,63731.03
676741,true,36247.79,209003.13,0.0,245250.92,131855.31
676742,true,35857.97,206548.4,0.0,242406.37,130326.0
676743,true,35857.97,198784.49,0.0,234642.47,126151.86
676744,true,43065.48,379548.48,0.0,422613.96,227211.78
676745,true,43065.41,22528.16,0.0,65593.57,35265.36
676746,true,51913.55,352499.73,0.0,404413.28,217426.48
676748,true,47572.03,47229.65,0.0,94801.68,50968.65
676749,true,39074.14,209345.82,0.0,248419.96,133559.1
676750,true,39074.14,0.0,0.0,39074.14,21007.59
676751,true,39074.14,211142.26,0.0,250216.4,134524.94
676752,true,55065.97,0.0,0.0,55065.97,29605.35
676756,true,76898.33,456624.22,0.0,533522.55,286840.07
676758,true,37417.05,0.0,0.0,37417.05,20116.69
676759,true,37417.05,0.0,0.0,37417.05,20116.69
676760,true,44937.82,360826.75,0.0,405764.57,218152.99
676761,true,37417.05,275973.5,0.0,313390.55,168489.53
676762,true,37417.05,232392.23,0.0,269809.27,145058.74
676763,true,44937.82,387387.13,0.0,432324.95,232432.76
676769,true,44937.82,248052.32,0.0,292990.14,157521.57
676770,true,37417.05,0.0,0.0,37417.05,20116.69
676772,true,37417.05,131709.46,0.0,169126.5,90928.22
676779,true,0.0,0.0,0.0,0.0,
676781,true,43065.41,198054.53,0.0,241119.94,129634.37
676782,true,41878.83,0.0,0.0,41878.83,22515.5
676783,true,43065.44,0.0,0.0,43065.44,19278.47
676788,true,34298.92,25342.84,0.0,59641.76,32065.45
676789,true,43065.41,388370.78,0.0,431436.2,231954.94
676790,true,34298.92,65177.96,0.0,99476.88,53482.19
676792,true,35857.97,282280.41,0.0,318138.38,171042.1396
676793,true,35857.97,70570.15,0.0,106428.12,57219.41
