padron;valuacion_total;valuacion
779398;921502.42;17800.0
779399;301075.86;19400.0
79715;311074.49;1.0
80034;90943.72;1.0
80037;522788.09;1.0
80040;306144.52;1.0
80045;132079.16;1.0
80046;137640.94;1.0
80047;794457.75;1.0
80054;84161.59;1.0
80055;261976.14;1.0
80064;342493.92;1.0
80071;84381.15;1.0
80077;228896.23;1.0
80081;46311.28;1.0
80082;52906.7;1.0
80084;221440.8;1.0
80085;199201.82;1.0
80088;566262.41;1.0
80089;234427.44;1.0
80105;252757.48;1.0
80110;172319.76;1.0
80115;240548.78;1.0
80116;346534.5;1.0
80120;330829.01;1.0
80122;89673.73;1.0
80125;500184.11;1.0
80126;236998.4;1.0
80128;171846.44;1.0
80129;117359.56;1.0
80130;402118.3;1.0
80132;224131.27;1.0
80133;259298.63;1.0
80135;221173.25;1.0
80140;484534.59;1.007
80142;16721.91;1.0
80145;251646.71;1.0024
80147;172140.75;1.0
80150;657219.3;1.0
80158;202863.62;1.0
80170;13662.46;1.0
80172;161820.58;1.0
80184;379348.74;1.0
80187;352761.98;1.0
80191;402507.92;1.00126
80203;236592.42;1.0
80217;1816200.36;1.0
80221;195652.18;1.0
80232;62524.72;1.0
80244;748707.67;1200.005
80247;35294.63;1.0
80251;364454.44;20700.0
80252;35294.63;1.0
80254;220114.58;1.001425
80258;476912.25;1.0
80259;719966.23;1.0
80263;163571.95;1.008679
80268;296714.07;1.0
80274;2322474.04;1.0
80275;180987.41;1.0
80277;210951.51;1.0
80279;359366.82;1.0
80294;489238.19;1.0
80296;242417.88;1.0
80300;92615.03;1.0
80314;140031.17;1.005
80316;31037.05;1.0
80335;203374.79;1.0
80337;174595.59;1.0
80338;622563.5;1.0
80339;323372.5;1.0
80340;184197.38;1.0
80352;401423.87;1.0
80363;184587.09;2400.0
80364;438092.27;1900.0
80365;338072.75;1.0
80368;701991.33;1.0
80372;281729.5;1.0
80384;193018.31;1.0
80387;1095452.23;1.0
80391;270939.47;1.0
80394;381004.92;1.0
80399;157884.42;1.0
80406;226609.03;1.0
80407;108187.08;1.0
80409;152361.66;1.0
80410;320840.99;1.0
80411;140506.69;1.0
80418;315859.98;1.0
80419;226054.7;1.0
80430;377918.68;1.0
80431;228252.14;1.0
80433;174168.94;1.0
80435;2873041.0;1.005
80436;383420.14;1.0
80438;196564.23;1.0
80444;439591.39;1.0
80445;622973.74;1.0
80446;318681.59;16800.0
80452;1197145.6;42900.0
80453;661051.59;1.0
80458;737629.27;1.0
80462;37698.63;1.0
80463;358317.23;1.0
80468;469275.54;1.0
80470;248864.32;1.0
80474;163699.21;1.0
80479;237303.32;1.0
80492;192877.64;1.0
80494;219249.14;1.0
80495;328886.74;1.0
80496;375137.56;1.0
80497;187653.42;1.0
80498;277424.05;3200.0
80506;141354.98;1.0
80508;163629.24;1.0
80525;43806.47;1.0
80528;235595.53;1.0
80529;207229.62;1.0
80535;406030.1;1.0
80541;224519.03;1.0
80542;679968.86;1.0
80545;288524.02;1.0
80550;88738.55;1.0
80552;186970.18;1.0
80564;45972.92;1.0
80565;245834.04;1.0
80569;120034.28;1.0
80576;171585.56;1.0
80577;264081.2;1.0
80579;397230.11;1.0
80589;778055.69;1.0
80590;472222.96;1.0
80591;247060.42;1.0
80603;4713748.96;76361.26
80607;389888.44;1.0
80613;287123.89;1.005
80616;173975.38;1.0
80626;1729.51;1.0
80662;179265.15;14372.25
80718;229220.55;5100.0
80720;3146763.6;42000.0
80721;709962.8;1.0
80722;288988.25;1.0
80723;536187.07;1.0
80728;291455.04;1.0
80730;258801.83;1.0
80732;171426.46;1.0
80733;167716.44;1.0
80739;234769.36;1.0
80742;108107.1;1.0
80747;189252.37;1.0
80768;266231.62;1.0
80770;344098.15;22200.0
80774;713128.13;1.0
80779;113753.55;1.0
80782;71717.81;1.005
80783;212454.11;1.0
80787;48999.46;1.0
80793;377844.03;1.0
80794;1025528.25;1.0
80797;149728.9;1.0
80801;201028.28;1.0
80808;173365.21;1.0
80809;135164.84;1.0
80810;156001.12;1.0
80828;730623.24;1.0
80836;922773.61;1.005
80845;162201.49;1.0
80850;105280.98;1.0
80851;40916.55;1.005
80856;265055.68;1.0
80858;351420.81;1.0
80865;3778790.95;25000.0
80867;117281.95;1.0
80871;549121.24;1.0
80888;187813.93;1.0
80891;384293.83;1.0
80896;1729.51;1.0
80924;330791.86;1.0
80926;289125.72;1.0
80927;193073.65;1.0
80930;266796.55;1.0
80969;228450.61;1.0
80985;800754.75;1.0
80994;4770668.52;1.0
80996;295072.78;1.0
81000;345376.68;1.0
81002;92117.47;1.0
81004;341133.51;1.0
81005;131289.31;1.0
81006;123304.3;2400.0
81011;211535.83;1.0
81012;131150.88;1.0
81014;224163.84;1.0
81028;337528.5;1.0
81039;312783.76;1.0
81052;219475.65;1.0
81053;145072.99;1.0
81054;272185.65;1.0
81055;235762.49;1.0
81056;694084.47;8500.0
81060;291163.72;1.0
81066;267156.62;1.0
81069;277395.61;1.0
81074;198529.62;1.0
81075;133906.51;1.0
81076;294639.84;1.0
81078;186642.71;1.0
81080;49329.5;3200.0
81086;237673.5;1.0
81106;170676.86;1.0
